filename,width,height,class,xmin,ymin,xmax,ymax
us1cent (41).jpg,350,350,dollar_cent_1,10,4,344,339
us1cent (61).jpg,350,350,dollar_cent_1,11,6,344,338
won536.jpg,350,350,won,15,13,337,330
won593.jpg,350,350,won,17,12,334,332
won562.jpg,355,389,won,16,28,349,381
won103.jpg,362,530,won,48,217,146,310
won296.jpg,372,355,won,48,42,324,307
won386.jpg,372,355,won,53,39,324,308
122.1172841821.jpg,373,462,yen,2,182,162,305
won572.jpg,376,189,won,2,2,180,180
won537.jpg,380,260,won,94,36,284,222
won587.jpg,380,260,won,92,38,286,224
us1cent (74).jpg,382,600,dollar_cent_1,82,153,145,213
us1cent (89).jpg,394,400,dollar_cent_1,56,62,203,200
70.61YjjeASk8L._UY395_.jpg,395,395,euro_cent_1,214,108,375,259
us1cent (23).jpg,398,400,dollar_cent_1,11,13,386,384
53.lithuania-1-euro-cent-2015.jpg,399,399,euro_cent_1,5,5,376,399
42.1997-Czech-Republic-500-Korun-Note-7162-_1.jpg,400,200,koruna,20,17,379,179
us1cent (83).jpg,400,250,dollar_cent_1,32,50,179,194
us1cent (113).jpg,400,267,dollar_cent_1,67,114,195,231
us1cent (30).jpg,400,267,dollar_cent_1,69,6,334,258
63.Belarus-500-Rubles-2000-P-27-Crisp-UNC.jpg,400,300,ruble,4,81,392,264
79.Belarus-500-Rublei-X-5-Pieces-PCS.jpg,400,321,ruble,3,135,397,317
214.Japan-500-Yen-2000-Heisei-12-Yr-UNC.jpg,400,356,yen,32,9,353,326
92.Belarus-500-Rubles-2000-P-27a-UNC-Banknotes-Original.jpg,400,400,ruble,13,13,388,201
us1cent (118).jpg,400,400,dollar_cent_1,13,17,389,386
us1cent (95).jpg,400,400,dollar_cent_1,122,124,271,278
won212.jpg,400,400,won,81,81,316,291
won575.jpg,400,400,won,92,75,323,293
us1cent (107).jpg,411,600,dollar_cent_1,178,20,248,86
59.belgium-1-euro-2009.jpg,417,394,euro_1,8,4,393,394
6.KM187_2002b.jpg,419,420,euro_1,2,1,419,404
115.Euro_muenzen_1_euro_2007.jpg,422,422,euro_1,19,15,401,407
us1cent (77).jpg,440,440,dollar_cent_1,105,55,427,397
134.1euro.jpg,448,600,euro_1,101,265,301,451
us1cent (79).jpg,450,230,dollar_cent_1,5,3,222,217
won524.jpg,450,310,won,128,62,321,251
won261.jpg,450,318,won,7,184,122,275
won300.jpg,450,318,won,154,67,193,99
won347.jpg,450,318,won,374,127,441,176
387.image-450w-1138260863.jpg,450,320,yen,154,58,320,231
60.czech-banknote-stock-photo_csp15609624.jpg,450,320,koruna,1,2,450,301
us1cent (70).jpg,450,337,dollar_cent_1,103,43,356,305
us1cent (57).jpg,450,338,dollar_cent_1,95,35,359,300
us1cent (72).jpg,450,338,dollar_cent_1,97,30,223,101
won156.jpg,450,356,won,103,208,155,247
42.one-1-cent-euro-coin-drawings_csp9005093.jpg,450,468,euro_cent_1,4,2,449,449
63.10522336.jpg,450,468,euro_1,166,49,289,131
won217.jpg,452,300,won,299,125,360,188
won417.jpg,471,353,won,177,111,276,224
us1cent (21).jpg,475,241,dollar_cent_1,8,8,235,233
112.1172841826.jpg,479,359,yen,32,113,212,209
279.1172841849.jpg,479,359,yen,163,131,409,321
105.134314318.jpg,480,244,euro_1,241,4,476,244
won246.jpg,480,359,won,304,78,398,172
us1cent (69).jpg,480,360,dollar_cent_1,108,56,174,189
won345.jpg,480,360,won,7,183,40,208
won430.jpg,480,360,won,2,155,162,302
won576.jpg,480,360,won,1,152,159,306
115.imgrc0062324861.jpg,480,480,yen,11,12,475,470
us1cent (33).jpg,497,500,dollar_cent_1,9,21,293,297
won117.jpg,500,228,won,356,14,436,89
won490.jpg,500,247,won,74,52,231,209
won560.jpg,500,247,won,75,52,230,209
us1cent (93).jpg,500,249,dollar_cent_1,5,2,249,247
us1cent (119).jpg,500,250,dollar_cent_1,2,2,248,248
won535.jpg,500,281,won,192,86,281,144
won206.jpg,500,313,won,30,25,233,188
us1cent (128).jpg,500,333,dollar_cent_1,69,125,249,286
won547.jpg,500,333,won,61,90,264,292
won114.jpg,500,375,won,196,43,456,303
won157.jpg,500,375,won,197,38,460,305
us1cent (27).jpg,500,479,dollar_cent_1,12,1,495,468
us1cent (31).jpg,500,491,dollar_cent_1,15,13,475,483
us1cent (52).jpg,500,491,dollar_cent_1,7,2,478,489
4.slovakia-1-euro-2009.jpg,500,497,euro_1,4,1,478,497
10.latvia-1-euro-2014.jpg,500,500,euro_1,4,3,481,500
7.vatican_city-1-euro-2017.jpg,500,500,euro_1,5,1,476,500
us1cent (97).jpg,500,500,dollar_cent_1,29,36,468,434
won178.jpg,500,525,won,90,436,144,466
won304.jpg,506,670,won,221,255,302,324
106.927730816.jpg,509,339,yen,206,188,362,298
196.936182310.jpg,509,339,yen,154,82,248,182
238.936182312.jpg,509,339,yen,23,143,92,215
52.927730820.jpg,509,339,yen,186,107,325,241
us1cent (80).jpg,512,287,dollar_cent_1,172,191,220,231
115.1128822684.jpg,512,336,yen,77,92,248,255
79.Czech-Notes-and-Coins.jpg,515,334,koruna,21,32,267,144
won118.jpg,520,340,won,31,76,254,297
won170.jpg,520,340,won,30,74,253,298
won191.jpg,521,720,won,122,157,403,425
369.91vSMMjxZpL._SX522_.jpg,522,293,yen,298,22,501,219
70.b9ff0529-6c6f-4d7c-890a-8e777037b2a7.jpg,525,700,koruna,149,5,503,168
87.078bf0cb-f292-4a0f-9ea4-1b81edd1aee3.jpg,525,700,ruble,10,433,521,684
105.499.jpg,528,1000,ruble,7,265,528,491
65.1_euro_coin_classic_round_sticker-r624f5889bbe04f08b65f28b3d1e28122_0ugmp_8byvr_540.jpg,540,540,euro_1,21,22,517,515
won483.jpg,540,540,won,23,193,129,300
won561.jpg,540,700,won,166,261,455,642
won586.jpg,540,729,won,60,483,234,651
won267.jpg,540,960,won,145,366,429,653
won590.jpg,540,960,won,74,276,438,691
won544.jpg,548,329,won,22,121,153,228
won529.jpg,549,469,won,118,89,420,387
won571.jpg,549,469,won,118,88,420,385
won582.jpg,550,280,won,16,16,265,259
82.f448d52f.jpg,550,288,yen,127,39,425,265
won244.jpg,550,364,won,364,153,439,227
won242.jpg,560,284,won,147,54,446,279
won282.jpg,560,284,won,141,41,444,276
won565.jpg,560,552,won,66,82,262,285
39.preview.jpg,562,374,koruna,51,86,512,305
us1cent (49).jpg,570,427,dollar_cent_1,31,116,261,329
us1cent (50).jpg,570,427,dollar_cent_1,38,117,253,331
us1cent (67).jpg,570,475,dollar_cent_1,75,113,311,318
227.il_570xN.1871109261_akdu.jpg,570,570,yen,100,139,474,450
won442.jpg,571,380,won,4,158,193,359
won551.jpg,571,380,won,196,90,400,296
48.efr10015b.jpg,576,275,euro_1,301,2,571,275
won305.jpg,580,386,won,216,201,294,271
31.ed10004gb.jpg,591,289,euro_1,299,10,575,289
won539.jpg,599,268,won,30,45,224,235
won589.jpg,599,268,won,31,45,217,235
50.3c978ddaa1ff9179667e6dae0c2f366f.jpg,600,269,koruna,1,1,597,269
22.1-cent-2009-greece-unc-600-x-291.jpg,600,291,euro_cent_1,1,2,298,290
32.austria1cent600p.jpg,600,306,euro_cent_1,300,1,600,304
us1cent (38).jpg,600,313,dollar_cent_1,10,3,307,306
255.31-keyc-12a-1.jpg,600,600,yen,120,284,402,542
40.3227-original.jpg,600,600,euro_cent_1,3,1,600,597
66.MINBELADC016-8_1.jpg,600,600,ruble,109,113,471,295
67.MICMNFC00006.jpg,600,600,euro_cent_1,122,120,290,300
us1cent (47).jpg,600,600,dollar_cent_1,6,4,595,596
us1cent (66).jpg,600,600,dollar_cent_1,22,127,592,463
won258.jpg,600,600,won,125,114,478,431
won326.jpg,600,600,won,108,202,292,358
won504.jpg,600,600,won,14,9,585,589
won548.jpg,600,600,won,117,102,488,444
won546.jpg,620,348,won,197,100,389,292
won592.jpg,620,348,won,197,102,395,293
won302.jpg,620,465,won,471,151,576,231
won311.jpg,620,465,won,473,154,576,232
278.world_coins_japan_500_yen_1567612430_96e44c14.jpg,622,666,yen,35,51,592,605
won250.jpg,639,975,won,83,407,253,580
us1cent (114).jpg,640,320,dollar_cent_1,9,1,631,320
won192.jpg,640,370,won,4,37,109,142
won418.jpg,640,414,won,57,99,272,322
won197.jpg,640,427,won,464,99,563,198
won123.jpg,640,429,won,52,88,289,328
158.o0640048010248217292.jpg,640,480,yen,2,109,311,406
won397.jpg,640,480,won,417,359,492,427
won406.jpg,640,640,won,38,11,611,590
won564.jpg,640,640,won,7,6,634,633
won190.jpg,640,853,won,126,454,284,604
won313.jpg,642,323,won,151,206,224,274
won181.jpg,644,328,won,170,73,323,248
us1cent (73).jpg,647,1080,dollar_cent_1,10,193,137,316
43.czech-republic-p-24.jpg,650,458,koruna,2,82,650,378
45.czech-republic-p-24.jpg,650,458,koruna,4,81,647,373
us1cent (68).jpg,650,647,dollar_cent_1,46,40,603,596
51.czech-currency.jpg,666,422,koruna,428,209,631,302
won215.jpg,670,377,won,109,85,285,206
51.set_of_belarus_rublebelarus_condition_unc_1565277691_a60f6981_progressive.jpg,670,1080,ruble,41,750,641,1059
58.set_of_belarus_rublebelarus_condition_unc_1565277691_a60f6981_progressive.jpg,670,1080,ruble,44,752,643,1058
117.500-yen-1984-59_14278_42361224eed796L.jpg,680,684,yen,1,1,680,656
won579.jpg,693,526,won,197,130,497,431
won144.jpg,700,357,won,46,120,144,208
us1cent (115).jpg,700,394,dollar_cent_1,4,60,136,196
125.pixta_14206101_L.jpg,700,440,yen,169,51,461,337
106.b526a516-cf92-42e6-bf91-136833b5a725.jpg,700,525,ruble,426,23,671,499
62.eb8b7be7-a64a-4bc5-8af9-14672fbafbff.jpg,700,525,ruble,194,342,547,520
64.76c55b3c-1ec3-4aed-a517-a82897768b50.jpg,700,525,ruble,42,16,656,181
35.0f26349f-b1f4-45ab-8cf1-0791af7a469b.jpg,700,699,euro_1,41,26,663,648
47.1396905180-16796-6.jpg,700,700,ruble,106,459,589,697
us1cent (121).jpg,700,700,dollar_cent_1,7,4,696,699
won585.jpg,708,518,won,29,192,197,363
won542.jpg,710,340,won,75,56,311,291
won110.jpg,710,473,won,352,206,519,371
won148.jpg,720,960,won,439,635,570,777
won245.jpg,720,960,won,39,472,303,730
won569.jpg,730,302,won,109,59,253,204
won291.jpg,736,414,won,428,216,469,251
us1cent (25).jpg,737,395,dollar_cent_1,110,116,374,373
287.500-yen-1984-59_14278_42368765eed796L.jpg,744,740,yen,17,9,725,716
310.world_coins_japan_500_yen_1567612430_c84cd4d3_progressive.jpg,749,747,yen,61,69,677,687
193.Japanese-Yen-Denominations-500Y-1-770x541.jpg,770,541,yen,125,31,645,508
328.Japanese-Yen-Denominations-500Y-2-770x596.jpg,770,596,yen,105,32,659,558
won287.jpg,779,242,won,6,3,234,235
371.5536_japan.jpg,795,495,yen,58,46,204,208
us1cent (120).jpg,800,400,dollar_cent_1,12,11,388,389
us1cent (125).jpg,800,400,dollar_cent_1,11,7,384,392
us1cent (26).jpg,800,419,dollar_cent_1,209,29,590,419
us1cent (24).jpg,800,533,dollar_cent_1,12,71,393,452
won233.jpg,800,533,won,179,123,315,266
won578.jpg,800,533,won,77,152,284,361
116.20150614144114.jpg,800,601,yen,236,130,723,537
64.B01_201808271403065801_pass321.jpg,800,737,koruna,10,12,789,361
130.500-yen-coin-08094.jpg,800,792,yen,11,9,797,779
55.o1080108014658828327.jpg,800,800,yen,246,462,621,800
won132.jpg,800,800,won,54,55,753,750
won263.jpg,800,800,won,512,384,611,471
won354.jpg,800,800,won,44,43,753,758
won532.jpg,800,800,won,44,45,746,746
347.yen-coin-view-japanese-30532676.jpg,800,849,yen,433,314,581,456
us1cent (86).jpg,810,1080,dollar_cent_1,6,409,253,666
15.Reverso_1_euro.jpg,813,720,euro_1,141,98,664,623
55.1-cent-euro-coin-1-euro-coin-euro-coins-png-favpng-QTEt8CWnv9JLeq9VEHyxKqrYs.jpg,820,589,euro_cent_1,97,2,717,589
54.1-euro-cent-2014_14278_82307801801dc9L.jpg,824,812,euro_cent_1,2,1,824,789
42.belarusian_ruble_notes.jpg,839,669,ruble,420,65,839,266
70.belarusian_ruble_notes.jpg,839,669,ruble,421,66,839,263
85.1.jpg,852,480,euro_1,385,79,700,366
us1cent (34).jpg,852,480,dollar_cent_1,244,50,615,415
us1cent (64).jpg,852,480,dollar_cent_1,238,56,619,424
us1cent (36).jpg,867,900,dollar_cent_1,43,32,828,849
won098.jpg,892,515,won,8,51,149,192
won229.jpg,892,515,won,8,52,151,195
won146.jpg,899,460,won,14,10,453,449
us1cent (108).jpg,900,438,dollar_cent_1,15,17,427,426
41.gTc5P4q59SXbFy2G6Lape8jE7eWrj3.jpg,900,450,koruna,7,120,449,324
won301.jpg,900,581,won,613,261,874,506
us1cent (71).jpg,900,900,dollar_cent_1,74,74,815,827
us1cent (94).jpg,900,900,dollar_cent_1,368,502,544,676
47.combined24616.jpg,916,456,yen,471,21,916,445
20.1-euro-cent-2014_14278_82304594801dc9L.jpg,916,892,euro_cent_1,10,1,916,870
won563.jpg,921,960,won,18,15,921,946
won322.jpg,960,540,won,465,157,659,346
108.small-2665827_960_720.jpg,960,671,euro_1,520,470,788,671
won115.jpg,960,720,won,349,104,624,351
won194.jpg,960,917,won,83,59,874,848
won394.jpg,960,917,won,87,52,885,857
44.Russia-roubles-and-Czech-koruna.jpg,968,968,koruna,53,31,923,244
50.1-Centesimo-di-Euro.jpg,969,612,euro_cent_1,58,61,500,516
won185.jpg,975,650,won,543,291,719,461
30.spain-1-euro-juan-carlos-i---2011-p-image-76899-grande.jpg,980,482,euro_1,498,1,974,482
86.B0488-1.jpg,1000,505,ruble,4,4,993,496
us1cent (117).jpg,1000,667,dollar_cent_1,375,226,570,404
56.70.jpg,1000,679,ruble,35,165,1000,661
us1cent (65).jpg,1000,885,dollar_cent_1,65,30,933,882
248.2000-2019_20.07.2019_21.30.jpg,1000,1000,yen,1,1,1000,1000
us1cent (101).jpg,1000,1000,dollar_cent_1,167,238,800,864
won494.jpg,1000,3794,won,324,1835,674,2197
162.depositphotos_57456595-stock-photo-japanese-500yen-coin.jpg,1023,682,yen,366,231,533,383
us1cent (116).jpg,1023,682,dollar_cent_1,305,216,692,478
172.3434603308_6764ba61ba_b.jpg,1023,685,yen,50,61,951,648
won228.jpg,1024,538,won,20,74,495,482
won121.jpg,1024,683,won,410,369,619,570
49.depositphotos_89032654-stock-photo-german-1-euro-coin.jpg,1024,768,euro_1,64,169,495,612
50.20180630233213.jpg,1024,840,yen,579,321,797,452
16.685-original.jpg,1024,1024,euro_1,8,5,1024,1009
20.551-original.jpg,1024,1024,euro_1,2,5,1019,1024
41.depositphotos_8509968-stock-photo-1-euro-cent-coin.jpg,1024,1024,euro_cent_1,69,68,975,964
44.Belarus-set-1-1000.jpg,1024,1024,ruble,534,505,990,729
68.Belarus-500-Rublei-2000.jpg,1024,1024,ruble,27,20,1004,493
80.Belarus-set-1-1000.jpg,1024,1024,ruble,523,503,987,725
2.1_Euro_Italy_2015_Romacoins.jpg,1026,1024,euro_1,4,1,1024,1024
us1cent (92).jpg,1033,1049,dollar_cent_1,73,64,976,975
48.898-original.jpg,1048,1056,yen,1,1,1048,1056
72.ckp-723-f201102100449201.jpg,1049,699,koruna,110,182,1049,572
197.500-yen-1985-anul-60-_15099_852585752fdc48L.jpg,1067,1042,yen,1,1,1052,1020
us1cent (100).jpg,1080,1079,dollar_cent_1,434,102,748,396
us1cent (122).jpg,1136,566,dollar_cent_1,4,3,565,566
us1cent (123).jpg,1136,566,dollar_cent_1,5,5,560,565
17.19518_1_spiegelei_2002.jpg,1142,562,euro_1,6,3,566,562
22.20140711PHT52244-cl.jpg,1156,584,euro_1,601,31,1119,537
341.500.jpg,1170,780,yen,236,248,557,557
86.image00117.jpg,1200,559,koruna,16,16,1166,529
43.feu_098366.jpg,1200,583,euro_cent_1,617,2,1200,581
49.fwo_244200.jpg,1200,595,yen,602,2,1197,595
us1cent (29).jpg,1200,600,dollar_cent_1,25,27,266,271
won365.jpg,1200,627,won,43,123,543,502
us1cent (104).jpg,1200,750,dollar_cent_1,206,415,355,557
us1cent (91).jpg,1200,960,dollar_cent_1,183,43,1034,913
48.feu_510004.jpg,1200,1083,euro_cent_1,902,879,1118,1083
80.1-euro-1237988.jpg,1200,1200,euro_1,60,66,1092,1076
85.kttkw791-img1200x1200-1578794449upeqtl13515.jpg,1200,1200,yen,42,357,555,832
us1cent (111).jpg,1200,1200,dollar_cent_1,115,109,1093,1099
us1cent (84).jpg,1200,1200,dollar_cent_1,470,611,736,881
us1cent (99).jpg,1200,1200,dollar_cent_1,470,616,734,872
us1cent (44).jpg,1211,1390,dollar_cent_1,77,29,1149,1218
87.tschechien-500kronen-1993_p-007-1-1-.jpg,1214,562,koruna,11,9,1214,552
78.I10KX9ISjZAAAAFZXYrdkj_g.jpg,1245,640,euro_1,644,7,1245,606
110.maxresdefault.jpg,1280,720,yen,279,1,961,511
45.maxresdefault.jpg,1280,720,euro_1,444,54,1014,597
60.maxresdefault.jpg,1280,720,koruna,544,400,1217,705
69.maxresdefault.jpg,1280,720,koruna,190,489,568,692
80.maxresdefault.jpg,1280,720,yen,445,84,827,472
us1cent (35).jpg,1280,720,dollar_cent_1,309,209,653,519
us1cent (53).jpg,1280,720,dollar_cent_1,313,185,652,495
us1cent (78).jpg,1280,720,dollar_cent_1,575,299,705,431
won100.jpg,1280,720,won,416,185,807,537
won328.jpg,1280,720,won,23,364,103,431
PB27N2.jpg,1300,576,koruna,32,14,1300,485
us1cent (37).jpg,1300,638,dollar_cent_1,95,51,564,494
46.euro-cent-coins-1-cent-2-cent-and-5-cent-coins-germany-RTF9R8.jpg,1300,665,euro_cent_1,74,144,409,420
56.the-front-side-of-the-czech-republic-200-koruna-banknote-currency-DR6DNK.jpg,1300,724,koruna,30,41,1267,592
85.the-reverse-side-of-czech-republic-500-koruna-banknote-featuring-laureate-DR6DRE.jpg,1300,724,koruna,37,40,1265,598
100004555.jpg,1300,740,euro_cent_1,1,5,322,348
40.1-euro-coin-portugal-2002-CBC268.jpg,1300,762,euro_1,25,19,647,651
60.euro-coins-against-bank-note-obverse-specimen-122676279.jpg,1300,791,euro_1,121,75,674,631
40.500-czech-crowns-bank-note-crown-is-the-national-currency-of-czech-republic-PB5NF5.jpg,1300,837,koruna,2,2,1300,741
us1cent (81).jpg,1300,848,dollar_cent_1,689,392,1058,721
us1cent (43).jpg,1300,851,dollar_cent_1,244,152,934,745
95.8361495-currency-and-banknotes-from-the-czech-republic-in-europe.jpg,1300,866,koruna,87,453,756,771
background.jpg,1300,919,euro_1,71,182,611,731
40.500-czech-crowns-bank-note-crown-is-the-national-currency-of-czech-republic-PB5NEF.jpg,1300,938,koruna,72,55,1246,758
382.hand-holding-yen-coin-japanese-42951304.jpg,1300,953,yen,407,324,651,541
57.euro-cent-coins-1-cent-2-cent-and-5-cent-coins-germany-RTF9RB.jpg,1300,956,euro_cent_1,58,314,408,664
68.money-500-czk-czech-crown-banknote-designed-by-oldrich-kulhanek-savings-CBBBR3.jpg,1300,956,koruna,138,163,1235,730
us1cent (39).jpg,1300,956,dollar_cent_1,382,159,925,703
us1cent (48).jpg,1300,956,dollar_cent_1,65,143,626,693
313.pile-yen-coins-japanese-money-white-background-close-up-68965203.jpg,1300,957,yen,141,462,388,699
51.czech-koruna-notes-2A1KYRJ.jpg,1300,960,koruna,2,65,1296,839
76.czech-koruna-notes-2A1M07M.jpg,1300,960,koruna,1,126,839,852
71.11261967-czech-money-banknotes-over-black-background.jpg,1300,975,koruna,186,464,985,851
us1cent (127).jpg,1300,975,dollar_cent_1,107,186,622,718
89.czech-koruna-or-czech-crown-D3AEEF.jpg,1300,1004,koruna,456,210,1295,907
b.jpg,1300,1222,yen,225,214,1052,1057
24.3101290-close-up-of-uncirculated-1-and-2-euro-and-20-and-50-euro-cent-coins-.jpg,1300,1300,euro_1,713,73,1281,641
us1cent.jpg,1300,1300,dollar_cent_1,252,240,1008,1002
76.czech-money-stock-image-1652984.jpg,1300,1348,koruna,133,56,1133,507
58.500-yen-2018_105462_54809802168deL.jpg,1400,1346,yen,37,13,1337,1278
337.500-yeni-2010-anul-22_57263_63016137fdad0bL.jpg,1431,1400,yen,46,43,1362,1331
216.500-yeni-2010-anul-22_57263_63008828292c15L.jpg,1468,1400,yen,90,61,1431,1364
128.36765337.jpg,1500,863,yen,751,8,1491,738
us1cent (28).jpg,1500,1487,dollar_cent_1,46,23,1500,1438
won306.jpg,1536,2048,won,394,897,991,1484
won559.jpg,1536,2048,won,376,904,994,1497
us1cent (62).jpg,1600,760,dollar_cent_1,915,87,1419,578
49.IMG_20170402_0001.jpg,1600,782,ruble,6,21,1600,776
us1cent (76).jpg,1600,1072,dollar_cent_1,38,158,789,903
51.czech-money-8819650.jpg,1600,1262,koruna,224,75,1364,580
67.depositphotos_167640970-stock-photo-1-euro-coin.jpg,1600,1656,euro_1,30,22,1585,1542
us1cent (55).jpg,1601,1602,dollar_cent_1,32,26,1574,1548
us1cent (124).jpg,1615,1598,dollar_cent_1,54,31,1581,1575
us1cent (75).jpg,1800,1350,dollar_cent_1,233,898,427,1086
64.kaxgo1ghpk2xwndguipjarmjwvjoghawyo1wzbgmscjlabbyedcwipg17gs0jpkr-.jpg,1820,1366,euro_cent_1,418,386,918,892
us1cent (112).jpg,1909,2000,dollar_cent_1,16,61,1909,1944
126.500-yen.jpg,1920,1917,yen,8,7,1920,1917
59.auc_25_gaa196.jpg,1940,2700,koruna,99,904,1885,1732
51.1443613-4606791-027rb.jpg,2000,2000,yen,1,1,2000,2000
53.1465418-2831165-017f.jpg,2000,2000,yen,1,1,2000,2000
us1cent (109).jpg,2048,1536,dollar_cent_1,371,252,1580,1365
96.1EuroCoinGerman3dmodel01.jpg,2048,2048,euro_1,95,560,1034,1508
us1cent (63).jpg,2152,2152,dollar_cent_1,68,68,2084,2071
63.Austria-1-Cent-Coin-2019-3214800-155333117918860.jpg,2249,2264,euro_cent_1,25,19,2249,2236
us1cent (59).jpg,2388,2379,dollar_cent_1,40,25,2355,2325
us1cent (85).jpg,2560,2048,dollar_cent_1,356,19,2432,2048
us1cent (90).jpg,2560,2048,dollar_cent_1,325,17,2288,2047
us1cent (56).jpg,3000,2000,dollar_cent_1,25,270,1489,1738
notes.jpg,3024,4032,ruble,575,3194,2097,3733
us1cent (87).jpg,3024,4032,dollar_cent_1,102,446,2985,3468
us1cent (96).jpg,3968,2976,dollar_cent_1,616,26,1177,548
